X1,X2,X3,X4,X5,X6,y
161.636,3,GBCA,right medulla,26684,3.52,1.711312853
116.512,3,GBCA,right medulla,26375,3.23,0.890958262
119.38,4,GBCA,right medulla,26201,3.1,0.943098519
101.633,4,GBCA,right medulla,26608,2.9,0.620457952
121.649,4,GBCA,right medulla,26599,3.22,0.984348953
113.35,4,GBCA,right medulla,26285,2.7,0.833473083
118.081,4,GBCA,right medulla,26684,3.52,0.919482691
102.348,4,GBCA,right medulla,26375,3.23,0.633456657
101.659,5,GBCA,right medulla,26201,3.1,0.620930632
105.96,5,GBCA,right medulla,26599,3.22,0.699122838
96.529,5,GBCA,right medulla,26285,2.7,0.527667202
98.358,5,GBCA,right medulla,26684,3.52,0.560918433
98.981,5,GBCA,right medulla,26375,3.23,0.572244576
64.579,1,AGUIX,right medulla,26201,3.1,0.02736842
110.891,1,AGUIX,right medulla,26608,2.9,0.2604082
69.877,1,AGUIX,right medulla,26599,3.22,0.0782716
63.636,1,AGUIX,right medulla,26285,2.7,0.05397351
70.361,1,AGUIX,right medulla,26375,3.23,0.07497797
80.81,2,AGUIX,right medulla,26201,3.1,0.2054023
125.55,2,AGUIX,right medulla,26608,2.9,0.6182143
168.767,2,AGUIX,right medulla,26599,3.22,1.66455
103.989,2,AGUIX,right medulla,26285,2.7,0.5598561
115.805,2,AGUIX,right medulla,26684,3.52,0.9552055
126.342,2,AGUIX,right medulla,26375,3.23,0.7938292
140.172,3,AGUIX,right medulla,26201,3.1,1.021839
141.532,3,AGUIX,right medulla,26608,2.9,1.2205
177.482,3,AGUIX,right medulla,26599,3.22,2.001746
132.511,3,AGUIX,right medulla,26285,2.7,0.9623022
185.723,3,AGUIX,right medulla,26684,3.52,2.373973
163.763,3,AGUIX,right medulla,26375,3.23,1.26551
153.006,4,AGUIX,right medulla,26201,3.1,1.427356
168.925,4,AGUIX,right medulla,26608,2.9,1.300357
206.944,4,AGUIX,right medulla,26599,3.22,2.46582
202.252,4,AGUIX,right medulla,26285,2.7,2.487626
129.73,4,AGUIX,right medulla,26684,3.52,1.12137
202.752,4,AGUIX,right medulla,26375,3.23,2.243967
108.448,5,AGUIX,right medulla,26201,3.1,0.4790805
109.2,5,AGUIX,right medulla,26608,2.9,0.4154286
172.757,5,AGUIX,right medulla,26599,3.22,1.797249
234.133,5,AGUIX,right medulla,26285,2.7,3.030791
132.706,5,AGUIX,right medulla,26684,3.52,1.042534
144.744,5,AGUIX,right medulla,26375,3.23,1.144298
49.411,1,GBCA,right pelvis,26201,3.1,-0.335907753
57.333,1,GBCA,right pelvis,26608,2.9,-0.192138979
47.658,1,GBCA,right pelvis,26599,3.22,-0.367721267
66.144,1,GBCA,right pelvis,26285,2.7,-0.032236599
55.463,1,GBCA,right pelvis,26684,3.52,-0.226075814
36.883,1,GBCA,right pelvis,26375,3.23,-0.563266398
